ja	and
että	that; in order to, to, so that; as to
myös	also, too
mutta	but
kun	when; as soon as
mukaan	along, on; along with, according to;
jo	already; now
kuin	how?; as if
nyt	now
tai	or
vain	only, merely, exclusively, solely, just;
paljon	a lot, plenty, much
vielä	yet; even; still
niin	so, then, in that case; so, to this or that extent; very; really
sekä	and, as well as; both
kaksi	two
jos	if
yksi	one
kuitenkin	however; nevertheless; after all; anyway
jälkeen	after; since
kanssa	with
noin	about, some, around; so, in that way, like that
hyvin	well; very
ensimmäinen	first, #1
kolme	three
miljoona	million
vaikka	although, though, even though; for instance, for example
sillä	for
esimerkiksi	for example
eli	so
yli	over; above
koska	because, since
aikana	during; within a period of time
vaan	but, rather; instead
aina	always
lähes	almost, nearly, close to
ennen	before
neljä	four
enää	any more, any longer; longer
sitten	then; when or whenever; what; ago; since
viisi	five
vähän	few; a little
ainakin	at least; for one
jopa	even; as much as
kymmenen	ten
edelleen	still
mukana	along, together
juuri	just; exactly, precisely; right; barely, narrowly, only just
näin	in this way, like this, so, thus
lisäksi	in addition, moreover, furthermore
vasta	only, just
miten	how
kyllä	yes; an intensifier corresponding to the English auxiliary do.
kuten	as; such as; like; as in
taas	again
kuitenkaan	however ... not; yet ... not; anyway
aivan	exactly, precisely; totally; indeed
kolmas	third
vastaan	against; towards
muun muassa (mm.)	inter alia, among other things.
pari	A couple of.
yhä	still; more and more
liian	too
edes	even; not ... even; at least:
silloin	then, at that time
ehkä	perhaps, maybe
joten	so, therefore, hence, whereupon
kuusi	six
usein	often
sata	A/one hundred.
jolloin	at which time, when
samalla	at the same time, simultaneously
kautta	through, via, by
heti	right away; as soon as
miljardi	billion
siellä	there (when the speaker does not point at the place)
aiemmin	earlier, hitherto
erityisesti	especially
vuoksi	"due to, because of, for one's sake"
hieman	a little, bit, tad, slightly
siis	thus, so; therefore; then
yleensä	usually, normally, typically, generally, on average
kuinka	how
lisää	more
jotta	so that, in order that, for the purpose that:
puolestaan	for his/her/their part, as far as he is/she is/they are concerned
nopeasti	rapidly, quickly; promptly
myöhemmin	comparative form of myöhään; later
silti	however, still, yet, nevertheless
täysin	totally, fully, completely; wide
sen_sijaan	instead
selvästi	clearly, in a clear manner; obviously, evidently
tänään	today
takia	because of, due to
muuten	by the way
ihan	totally; exactly
todella	really
siksi	"therefore, that's why; consequently"
kiinni	Closed.
erittäin	very, extremely
tosin	although
varten	for
yhdessä	together
yhteensä	altogether; together
täällä	here; over here
seitsemän	seven
huolimatta	in spite of, despite
asti	up to, all the way to; until
saakka	up to, all the way to.; until.
koskaan	ever; with negation verb: never, not ... ever:
yhtä	equally as; same, equal
takaisin	back (away from front); back (not forward)
